pid,parameter,optimal_x
4,[1.0338361282279178],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9723750497067574],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9158757038455088],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.082184130901242],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0899290499494272],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.053605511478149],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9188742084654375],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9303471773709917],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9292738932722737],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0864162414090794],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0706573985295613],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9610730449383906],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0250197431124863],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9834694741154061],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.065527865921826],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9108935993540404],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0375756440929977],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9689945141998966],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9523081121703457],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9241568040605144],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9202431100054351],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0521153242718715],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9045916407881334],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9126234127308722],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9210225456396831],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9077975101404956],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9541497736849047],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0512946624905695],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.94776814222208],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0733623519381816],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0296551091488713],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.051944142603512],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0272685943442348],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9640964044179863],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9666406065879345],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0534882475276097],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0836188431716847],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9259567317495445],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9134906073600576],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9819030166071655],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0355292798973768],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.016677642931209],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0217228593485554],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9859033951602528],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9097861933011052],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0417558629780759],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0562695502954842],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.051651740067278],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.090162751373801],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0509480089416794],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9171572814322799],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9011998084012218],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0216843301523877],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0622177704746967],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0355816318866538],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9896608539252654],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0808181438604925],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0936097812224153],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9464013418691024],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9864197902611994],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0292977638846792],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9189253032237835],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0273529911606365],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0583913242498197],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0379783577562258],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9241995894205568],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0484013487909325],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9504151724910123],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.988308610683094],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9373834754661317],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0345793526561429],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0351031320192345],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9482364614914067],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9742890514621902],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9122954410395328],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0555468041463414],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9071499331171251],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9114893650170646],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0562765436014552],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9037852796256095],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0620426114968433],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.067752397274468],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0835595264502846],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0588006590621482],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9029622496753436],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9045129647172726],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9088163922330933],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9181146108544644],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9458579214368035],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0866293349010478],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9597797540200235],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.036285099286744],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0685997521334094],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.966440470612199],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9768679049960225],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9368310430703058],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.029126907660961],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0318500854149955],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0756316049391346],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0737157708003056],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.0319809645137994],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[1.017911480708927],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
4,[0.9682351387536727],"[1.118033988749895, 1.3103706971016593, 0, 1, 1]"
