pid,parameter,optimal_x
5,[0.9039923000683154],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9645686866814169],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0203012255848252],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9641069327138226],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0512166698413365],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9697247335764767],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0359502171105675],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9379109017381769],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9678631486638398],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9678416298879136],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9835734123415041],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9792236912542878],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9452332077178556],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9375889324579461],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9538677030961543],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9688784468783863],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9140676229584052],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9193159188183843],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9121064913771371],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9707795360840403],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9525903310327234],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9337824660920065],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0909558897553924],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9048274088401728],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9616163066555133],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9139903847790845],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9287966362024053],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9407582399171485],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0774106237164112],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9404743801596501],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9298143020884757],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0781268240486428],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9681242622641244],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9000000618088021],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9573508690729292],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0259794775032567],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.916991577815602],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0930213594444025],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0354585616559717],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.067257125826876],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9241946100733706],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0569061858823752],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9253686446871382],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9324280533426612],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.971498185003034],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0278156462043821],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0530070925839095],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0502543393463752],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9721739876731766],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.081207532779699],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.059859470479358],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9177396736129195],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9437544208605516],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0657016250304105],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9675670657465125],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.902583218598274],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.031512641422487],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9540314716687552],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9705595265777911],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9380131165302484],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9749858398997651],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0855721062656916],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.094250786559972],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9478631594939259],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0198303187408555],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9750624989326648],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9365615880938335],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0946192021752088],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9208872081432604],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9456866652618197],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0829449393739687],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9269595178304602],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.064937596164618],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9323352108652221],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0580026906519084],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9758961860714813],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9099692688589617],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0943449427992022],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0422532010357701],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0108467871986095],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0425125460058522],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0822504451560384],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9805114398517543],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.90412696795603],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.065913671709637],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9457613356796738],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0900884508003779],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.978109827261193],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0480805044186934],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.051554987576662],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9653284949735015],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.043522285697799],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0719575335012765],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9246560054912946],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9061472153126608],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9404712370875099],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0758878634582543],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.966484794808892],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9598858476811782],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0990424452506418],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0395406133095564],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0799684984174194],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9038615964415097],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0566017101668952],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.06449691426462],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9093311582256058],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0551326102073222],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0909915277798343],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9077699280204804],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0213542150774366],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0164275693710823],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0550019227101461],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0584706300430964],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0654087045636953],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9751977212511238],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9703123894586491],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.070021607442123],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0807172549913677],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.099305820433425],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0170000777163561],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0428432927147966],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9722118099615074],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9388076232517577],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9626496795153555],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0809039183671283],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0803392837119088],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0337010974925835],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9651910196949013],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9359831274927692],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0859216219823338],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0971079812423532],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9246540014426861],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[0.9811970776226471],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
5,[1.0993817112182165],"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
